"","prob_attack_comp","prob_attack_anto","prob_attack_cybe","prob_att_mr_ddos","prob_att_mr_social","portf_num","sprk","fd","ddos_prot","secconfig","malwprot","patchvul","ids","conventional","cyber1","cyber2","cost_controls","defender_cost","defender_utility"
"1",0.7301,0.7318,0.581,0.6714,0.0819,133,1,0,1,0,1,0,1,0,0,1,58600,4.23071732191285,0.147122065744699
"2",0.7257,0.7307,0.5797,0.6803,0.0766,42,0,1,1,1,1,1,0,1,0,1,38400,4.21050743719732,0.0880714128816119
"3",0.7251,0.7259,0.5755,0.6662,0.0814,110,0,0,1,0,1,1,1,0,0,1,59600,4.20859675242623,0.0622839539480067
"4",0.7281,0.7306,0.57,0.6694,0.0797,202,1,1,1,1,0,0,0,0,0,1,30400,4.17874090772068,0.0156623316046757
"5",0.7229,0.7255,0.5732,0.6694,0.0829,387,0,0,1,1,0,0,1,0,1,0,50000,4.66837777437286,-0.0814018742454781
"6",0.7292,0.7313,0.5682,0.6629,0.08,267,0,1,1,0,0,0,1,1,1,0,56800,4.66333973670683,-0.0976000527167481
"7",0.7305,0.7309,0.5754,0.6633,0.0716,188,1,0,1,1,1,0,0,0,0,1,29600,4.1924480592652,-0.12786897128031
"8",0.7256,0.7271,0.576,0.6668,0.0803,76,0,0,1,1,1,0,0,1,0,1,32000,4.26694713505702,-0.13229633251584
"9",0.7267,0.7264,0.5833,0.6634,0.0799,241,0,0,1,0,0,1,1,1,1,0,53600,4.68330648818646,-0.2101525786148
"10",0.7325,0.7349,0.5777,0.6599,0.0809,392,1,1,1,0,0,0,1,0,1,0,54400,4.68051745081642,-0.263821645018283
