,prob_attack_comp,prob_attack_anto,prob_attack_cybe,prob_att_mr_ddos,prob_att_mr_social,portf_num,sprk,fd,ddos_prot,secconfig,malwprot,patchvul,ids,conventional,cyber1,cyber2,cost_controls,defender_cost,defender_utility
1,0.73,0.65,0.53,0.65,0.03,219,0,0,1,1,1,1,1,1,1,0,58600,3.39780631323844,0.396552794141185
2,0.73,0.72,0.55,0.62,0.09,42,0,1,1,1,1,1,0,1,0,1,38400,3.62053554237065,0.377102727165086
3,0.76,0.72,0.61,0.73,0.05,49,1,1,1,0,1,1,0,1,0,1,38000,4.30475677558933,0.343128683073964
4,0.73,0.7,0.57,0.68,0.03,344,1,1,1,0,1,1,1,0,1,0,60000,3.68461140641821,0.335062012774072
5,0.72,0.69,0.51,0.57,0.1,141,0,0,1,1,0,0,1,0,0,1,55000,3.54249775641434,0.333380146467562
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,0,0,1,1,1,1,1,Conventional+Cyber1,58600,3.39780631323844,0.396552794141185,,,,,,,
,,0,1,1,1,1,1,0,Conventional+Cyber2,38400,3.62053554237065,0.377102727165086,,,,,,,
,,1,1,1,0,1,1,0,Conventional+Cyber2,38000,4.30475677558933,0.343128683073964,,,,,,,
,,1,1,1,0,1,1,1,Cyber1,60000,3.68461140641821,0.335062012774072,,,,,,,
,,0,0,1,1,0,0,1,Cyber2,55000,3.54249775641434,0.333380146467562,,,,,,,
