"","prob_attack_comp","prob_attack_anto","prob_attack_cybe","prob_att_mr_ddos","prob_att_mr_social","portf_num","sprk","fd","ddos_prot","secconfig","malwprot","patchvul","ids","conventional","cyber1","cyber2","cost_controls","defender_cost","defender_utility"
"1",0,0,0.6,0.4,0,8,0,0,0,0,1,1,1,1,0,1,50600,5.36889172784848,0.207169922680024
"2",0,0.4,0.8,0.8,0,3,1,0,0,1,1,1,1,1,0,1,52200,6.12035682968835,0.197547330314161
"3",0.2,0.2,0.6,0.8,0,12,0,1,0,1,0,1,1,1,0,1,52400,5.23468593475294,0.0275825480192736
"4",0.4,0.2,0.4,1,0,19,1,0,0,0,0,1,1,1,0,1,47200,6.07305391275922,-0.123751080052879
"5",0,0,0.6,0.6,0,1,1,1,0,1,1,1,1,1,0,1,57000,6.41970294760967,-0.786539003736286
"6",0,0.4,0.8,0.8,0.2,18,0,1,0,0,0,1,1,1,0,1,51400,9.60178237218941,-1.34007650424863
"7",0.2,0.2,0.8,0.8,0,14,0,0,0,1,0,1,1,1,0,1,47600,9.55660183410218,-1.43324276706332
"8",0,0.6,0.6,0.6,0,13,1,0,0,1,0,1,1,1,0,1,48200,8.37170285370169,-1.59937291351358
"9",0.2,0.4,0.8,0.8,0,17,1,1,0,0,0,1,1,1,0,1,52000,9.20287592602675,-1.67767230974017
"10",0.6,0.2,0.8,1,0,6,0,1,0,0,1,1,1,1,0,1,55400,11.0435122828643,-2.81591309151541
