,prob_attack_comp,prob_attack_anto,prob_attack_cybe,prob_att_mr_ddos,prob_att_mr_social,portf_num,sprk,fd,ddos_prot,secconfig,malwprot,patchvul,ids,conventional,cyber1,cyber2,cost_controls,defender_cost,defender_utility
1,0,0.729,0,0,0,547,0,0,1,1,0,1,0,1,0,0,17600,0.017956114393213,0.999176555506279
2,0,0.739,0,0,0,571,0,0,1,0,1,0,0,1,0,0,19000,0.019882266832669,0.999086903941721
3,0,0.734,0,0,0,562,1,0,1,1,1,0,0,1,0,0,20600,0.021102977032556,0.999031735780456
4,0,0.725,0,0,0,538,1,0,1,0,1,1,0,1,0,0,21200,0.021851625266388,0.998997238923317
5,0,0.744,0,0,0,553,0,1,1,0,0,1,0,1,0,0,21400,0.023665107645549,0.998897319329176
6,0,0.717,0,0,0,672,1,1,1,1,0,1,0,0,0,0,20000,0.024930109612248,0.99885402482835
7,0,0.733,0,0,0,560,1,1,1,1,1,0,0,1,0,0,25400,0.025910650791767,0.998810419089661
8,0,0.713,0,0,0,537,0,1,1,0,1,1,0,1,0,0,25400,0.025918280450204,0.998810224388812
9,0,0.73,0,0,0,536,1,1,1,0,1,1,0,1,0,0,26000,0.026603530851582,0.998778647438374
10,0,0.734,0,0,0,657,0,1,1,1,1,1,0,0,0,0,23400,0.029203220358032,0.998656730803877
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,0,0,1,1,0,1,0,Conventional,17600,0.017956114393213,0.999176555506279,,,,,,,
,,0,0,1,0,1,0,0,Conventional,19000,0.019882266832669,0.999086903941721,,,,,,,
,,1,0,1,1,1,0,0,Conventional,20600,0.021102977032556,0.999031735780456,,,,,,,
,,1,0,1,0,1,1,0,Conventional,21200,0.021851625266388,0.998997238923317,,,,,,,
,,0,1,1,0,0,1,0,Conventional,21400,0.023665107645549,0.998897319329176,,,,,,,
