"","prob_attack_comp","prob_attack_anto","prob_attack_cybe","prob_att_mr_ddos","prob_att_mr_social","portf_num","sprk","fd","ddos_prot","secconfig","malwprot","patchvul","ids","conventional","cyber1","cyber2","cost_controls","defender_cost","defender_utility"
"1",0,0.6,0,0,0,71,1,0,0,0,0,1,0,1,0,1,17200,0.01743436,0.999200612499808
"2",0,0.2,0,0,0,93,1,1,0,1,0,0,0,1,0,1,21400,0.02153888,0.999011969360328
"3",0,0.2,0,0,0,70,0,1,0,0,0,1,0,1,0,1,21400,0.02159964,0.999009175539928
"4",0,0.2,0,0,0,48,0,0,0,1,1,1,0,1,0,1,21600,0.02163038,0.999007762099697
"5",0,0.4,0,0,0,62,0,1,0,1,0,1,0,1,0,1,22400,0.02243906,0.998970574474236
"6",0,0.2,0,0,0,61,1,1,0,1,0,1,0,1,0,1,23000,0.02303038,0.998943378093958
"7",0,0.2,0,0,0,86,0,1,0,0,1,0,0,1,0,1,23800,0.02421664,0.998888808032486
"8",0,0.6,0,0,0,78,0,1,0,1,1,0,0,1,0,1,24800,0.02486944,0.998858772240525
"9",0,0.4,0,0,0,77,1,1,0,1,1,0,0,1,0,1,25400,0.02547812,0.998830762416554
"10",0,0.4,0,0,0,54,0,1,0,0,1,1,0,1,0,1,25400,0.02556926,0.998826568060083
