,prob_attack_comp,prob_attack_anto,prob_attack_cybe,prob_att_mr_ddos,prob_att_mr_social,portf_num,sprk,fd,ddos_prot,secconfig,malwprot,patchvul,ids,conventional,cyber1,cyber2,cost_controls,defender_cost,defender_utility
1,0.742,0,0,0,0,579,0,0,1,1,0,0,0,1,0,0,16000,0.016724089550339,0.999231208977931
2,0.722,0,0,0,0,555,0,0,1,0,0,1,0,1,0,0,16600,0.020469207261978,0.999043651322418
3,0.735,0,0,0,0,705,0,1,1,1,0,0,0,0,0,0,17800,0.02417021713625,0.998884265018144
4,0.731,0,0,0,0,545,0,1,1,1,0,1,0,1,0,0,22400,0.024580831229648,0.998867954518171
5,0.721,0,0,0,0,531,0,0,1,1,1,1,0,1,0,0,21600,0.024815872781441,0.998853486162083
6,0.714,0,0,0,0,563,0,0,1,1,1,0,0,1,0,0,20000,0.025009730375879,0.998835502951808
7,0.742,0,0,0,0,562,1,0,1,1,1,0,0,1,0,0,20600,0.024997723665584,0.998835205488519
8,0.724,0,0,0,0,536,1,1,1,0,1,1,0,1,0,0,26000,0.028413501937097,0.998685931115266
9,0.726,0,0,0,0,688,1,1,1,1,1,0,0,0,0,0,22400,0.028968207967218,0.99866408377776
10,0.733,0,0,0,0,529,0,1,1,1,1,1,0,1,0,0,26400,0.029316292216659,0.998641993134219
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,0,0,1,1,0,0,0,Conventional,16000,0.016724089550339,0.999231208977931,,,,,,,
,,0,0,1,0,0,1,0,Conventional,16600,0.020469207261978,0.999043651322418,,,,,,,
,,0,1,1,1,0,0,0,Nothing,17800,0.02417021713625,0.998884265018144,,,,,,,
,,0,1,1,1,0,1,0,Conventional,22400,0.024580831229648,0.998867954518171,,,,,,,
,,0,0,1,1,1,1,0,Conventional,21600,0.024815872781441,0.998853486162083,,,,,,,
