"","prob_attack_comp","prob_attack_anto","prob_attack_cybe","prob_att_mr_ddos","prob_att_mr_social","portf_num","sprk","fd","ddos_prot","secconfig","malwprot","patchvul","ids","conventional","cyber1","cyber2","cost_controls","defender_cost","defender_utility"
"1",0.8,0,0,0,0,707,0,0,1,1,0,0,0,0,0,0,13000,0.013155,0.999397110200356
"2",0.8,0,0,0,0,706,1,0,1,1,0,0,0,0,0,0,13600,0.0137116,0.999371562933453
"3",0.8,0,0,0,0,587,0,0,1,0,0,0,0,1,0,0,15000,0.015,0.999312415004106
"4",0.4,0,0,0,0,586,1,0,1,0,0,0,0,1,0,0,15600,0.0156,0.999284864444834
"5",1,0,0,0,0,579,0,0,1,1,0,0,0,1,0,0,16000,0.016,0.999266495387597
"6",0.6,0,0,0,0,555,0,0,1,0,0,1,0,1,0,0,16600,0.0166,0.999238938774802
"7",1,0,0,0,0,578,1,0,1,1,0,0,0,1,0,0,16600,0.0166,0.999238938774802
"8",1,0,0,0,0,691,0,0,1,1,1,0,0,0,0,0,17000,0.0170806,0.99921686329099
"9",0.8,0,0,0,0,554,1,0,1,0,0,1,0,1,0,0,17200,0.0172,0.999211378529256
"10",0.4,0,0,0,0,713,0,1,1,0,0,0,0,0,0,0,16800,0.0174944,0.999197854162046
