"","prob_attack_comp","prob_attack_anto","prob_attack_cybe","prob_att_mr_ddos","prob_att_mr_social","portf_num","sprk","fd","ddos_prot","secconfig","malwprot","patchvul","ids","conventional","cyber1","cyber2","cost_controls","defender_cost","defender_utility"
"1",0,0,0.2,0,0,14,0,0,0,1,0,1,1,1,0,1,47600,0.831556876359676,0.940307099082595
"2",0,0,0.6,0,0,5,1,1,0,0,1,1,1,1,0,1,56000,1.86063630040688,0.86825406405661
"3",0,0,0.6,0,0,2,0,1,0,1,1,1,1,1,0,1,56400,2.31737538988775,0.833194921057305
"4",0,0,0.6,0,0,13,1,0,0,1,0,1,1,1,0,1,48200,2.57091440342706,0.803106994538265
"5",0,0,0.8,0,0,15,1,0,1,0,0,1,1,1,0,1,59200,3.35396577545962,0.705142222259953
"6",0,0,0.6,0,0,7,1,0,0,0,1,1,1,1,0,1,51200,2.96763090574829,0.594884445710339
"7",0,0,0.6,0,0,3,1,0,0,1,1,1,1,1,0,1,52200,3.97218761291261,0.547423071612232
"8",0,0,0.2,0,0,8,0,0,0,0,1,1,1,1,0,1,50600,3.37539907444273,0.467347468205859
"9",0,0,0.4,0,0,11,1,1,0,1,0,1,1,1,0,1,53000,3.78286354650914,0.324995359352308
"10",0,0,0.8,0,0,17,1,1,0,0,0,1,1,1,0,1,52000,5.58889611188917,0.30269290068657
