,prob_attack_comp,prob_attack_anto,prob_attack_cybe,prob_att_mr_ddos,prob_att_mr_social,portf_num,sprk,fd,ddos_prot,secconfig,malwprot,patchvul,ids,conventional,cyber1,cyber2,cost_controls,defender_cost,defender_utility
1,0,0,0,0.683,0.084,163,0,1,1,0,1,1,0,0,0,1,34400,0.754006227739478,0.856562801407709
2,0,0,0,0.671,0.086,134,0,0,1,0,1,0,1,0,0,1,58000,0.78033289141247,0.856547671792473
3,0,0,0,0.681,0.084,139,0,1,1,1,0,0,1,0,0,1,59800,0.749855073862659,0.855793628014399
4,0,0,0,0.666,0.081,147,0,1,1,0,0,0,1,0,0,1,58800,0.741348458130981,0.855490526883181
5,0,0,0,0.674,0.086,188,1,0,1,1,1,0,0,0,0,1,29600,0.751681821608338,0.855144087374273
6,0,0,0,0.678,0.065,203,0,1,1,1,0,0,0,0,0,1,29800,0.684208744711956,0.853964915962847
7,0,0,0,0.686,0.095,178,1,1,1,0,0,1,0,0,0,1,31000,0.764941026407621,0.853180544089119
8,0,0,0,0.675,0.068,16,0,0,1,0,0,1,1,1,0,1,58600,0.733762507519573,0.852879370937303
9,0,0,0,0.671,0.071,10,0,0,1,1,0,1,1,1,0,1,59600,0.71606642154228,0.851957603117939
10,0,0,0,0.669,0.08,59,1,0,1,1,0,1,0,1,0,1,30200,0.725900768390004,0.849906303853679
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,1,0,1,1,0,Cyber2,34400,0.754006227739478,0.856562801407709,,,
,,,,,,0,0,1,0,1,0,1,Cyber2,58000,0.78033289141247,0.856547671792473,,,
,,,,,,0,1,1,1,0,0,1,Cyber2,59800,0.749855073862659,0.855793628014399,,,
,,,,,,0,1,1,0,0,0,1,Cyber2,58800,0.741348458130981,0.855490526883181,,,
,,,,,,1,0,1,1,1,0,0,Cyber2,29600,0.751681821608338,0.855144087374273,,,
