"","prob_attack_comp","prob_attack_anto","prob_attack_cybe","prob_att_mr_ddos","prob_att_mr_social","portf_num","sprk","fd","ddos_prot","secconfig","malwprot","patchvul","ids","conventional","cyber1","cyber2","cost_controls","defender_cost","defender_utility"
"1",0,0,0,0.4,0.2,10,0,0,1,1,0,1,1,1,0,1,59600,0.867155181347982,0.946780022761119
"2",0,0,0,0.6,0.2,9,1,0,1,1,0,1,1,1,0,1,60200,0.881486545484935,0.944673979542463
"3",0,0,0,0.6,0,18,0,1,0,0,0,1,1,1,0,1,51400,1.6066484926727,0.900628681068748
"4",0,0,0,0.8,0,12,0,1,0,1,0,1,1,1,0,1,52400,2.06183605590596,0.873349781879986
"5",0,0,0,0.6,0,6,0,1,0,0,1,1,1,1,0,1,55400,1.93207172195744,0.872824557053725
"6",0,0,0,0.8,0,4,0,0,0,1,1,1,1,1,0,1,51600,2.14720656718864,0.863305506679245
"7",0,0,0,0.8,0,3,1,0,0,1,1,1,1,1,0,1,52200,2.33872531841038,0.849477601163516
"8",0,0,0,0.8,0.2,2,0,1,0,1,1,1,1,1,0,1,56400,2.61333275751835,0.832445373930461
"9",0,0,0,1,0,19,1,0,0,0,0,1,1,1,0,1,47200,2.72751435748092,0.825767138217293
"10",0,0,0,1,0,17,1,1,0,0,0,1,1,1,0,1,52000,2.89544994900796,0.813394244375957
